hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date
City Hotel,0,148,2017,August,32,9,0,3,2,0.0,1,HB,FRA,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9.0,,0,Transient,164.7,0,1,Check-Out,2017-08-12
Resort Hotel,1,275,2016,April,16,10,2,5,2,0.0,0,HB,GBR,Groups,Direct,0,0,0,D,D,0,No Deposit,273.0,,0,Transient-Party,68.66,0,0,Canceled,2016-01-14
Resort Hotel,1,140,2017,July,28,10,1,5,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,,0,Transient,183.83,0,1,Canceled,2017-03-14
Resort Hotel,0,21,2015,September,39,23,0,1,2,0.0,0,HB,DEU,Corporate,Corporate,0,0,0,A,C,2,No Deposit,,110.0,0,Transient-Party,108.65,0,0,Check-Out,2015-09-24
Resort Hotel,0,0,2016,March,10,2,0,1,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,1,No Deposit,,,0,Transient,45.0,0,0,Check-Out,2016-03-03
City Hotel,1,275,2017,July,29,18,0,5,1,0.0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,8.0,,0,Transient,83.71,0,2,Canceled,2016-11-12
Resort Hotel,1,177,2016,September,39,23,2,5,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,171.0,,0,Transient,76.0,0,0,Canceled,2016-07-29
City Hotel,0,59,2016,March,14,29,2,5,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,101.27,0,2,Check-Out,2016-04-05
Resort Hotel,1,174,2016,August,35,23,2,5,2,0.0,0,HB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient,224.0,0,0,Canceled,2016-03-03
City Hotel,0,17,2015,September,39,26,2,1,1,0.0,0,BB,USA,Groups,TA/TO,0,0,0,A,A,2,No Deposit,1.0,,0,Transient-Party,170.0,0,0,Check-Out,2015-09-29
Resort Hotel,0,57,2015,November,48,26,0,3,1,0.0,0,BB,NLD,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,36.0,0,1,Check-Out,2015-11-29
City Hotel,0,47,2016,July,27,2,2,2,3,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,89.0,,0,Transient,114.48,0,2,Check-Out,2016-07-06
City Hotel,0,61,2017,April,14,6,0,3,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,117.0,0,1,Check-Out,2017-04-09
Resort Hotel,0,12,2016,April,16,11,2,5,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,177.0,,0,Transient,75.6,0,0,Check-Out,2016-04-18
Resort Hotel,0,5,2017,April,14,8,0,1,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,85.0,0,3,Check-Out,2017-04-09
City Hotel,0,169,2017,July,27,2,1,0,2,0.0,0,BB,HUN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,107.1,0,0,Check-Out,2017-07-03
City Hotel,0,66,2015,December,53,31,2,3,3,0.0,0,BB,BRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,,0,Transient,111.92,0,0,Check-Out,2016-01-05
City Hotel,0,31,2016,September,38,16,1,2,2,0.0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,6.0,,0,Transient-Party,75.0,0,0,Check-Out,2016-09-19
City Hotel,0,34,2016,February,7,8,1,4,1,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,73.9,0,0,Check-Out,2016-02-13
City Hotel,1,257,2015,July,27,1,0,2,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,1,0,A,A,0,No Deposit,6.0,,0,Transient,101.5,0,0,Canceled,2015-06-16
City Hotel,0,137,2017,March,10,6,1,1,2,0.0,0,BB,ISR,Groups,TA/TO,0,0,0,A,A,0,No Deposit,37.0,,0,Transient-Party,80.0,0,1,Check-Out,2017-03-08
Resort Hotel,0,114,2017,May,20,18,2,5,1,0.0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,243.0,,0,Transient,64.85,0,2,Check-Out,2017-05-25
Resort Hotel,1,241,2016,September,36,2,2,5,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,,0,Transient,108.0,0,0,Canceled,2016-01-14
